lender,product_type,isautoleadcreated,major_index,major_stage,Leads,Conv. %
PYFL,Renewal,Flow2(Manual),11,Review submit,261,93.21
PYFL,Renewal,Flow2(Manual),13,Application submitted by user,261,108.30
UCL,MicroML,Flow2(Manual),13,Application submitted by user,259,90.24
SHRIRAM,Renewal,Flow1(Auto),14,Submit to LMS,255,73.91
MFL,Renewal,Flow1(Auto),13,Application submitted by user,250,94.70
KSF,Renewal,Flow1(Auto),15,Disbursed,250,84.18
NACL,Renewal,Flow2(Manual),9,BRE2 completed,246,71.51
NACL,Renewal,Flow2(Manual),10,Disbursal acc verified,245,99.59
MFL,Fresh,Flow1(Auto),14,Submit to LMS,245,85.37
UCL,MicroML,Flow2(Manual),14,Submit to LMS,242,93.44
PYFL,Renewal,Flow2(Manual),12,Mandate done,241,92.34
UCL,MicroML,Flow2(Manual),15,Disbursed,239,98.76
NACL,Renewal,Flow2(Manual),11,Review submit,227,92.65
NACL,Fresh,Flow2(Manual),14,Submit to LMS,227,78.28
PIRAMAL,Renewal,Flow1(Auto),9,BRE2 completed,217,44.56
NACL,Renewal,Flow2(Manual),12,Mandate done,216,95.15
PIRAMAL,Renewal,Flow1(Auto),10,Disbursal acc verified,216,99.54
NACL,Fresh,Flow2(Manual),15,Disbursed,213,93.83
PIRAMAL,Renewal,Flow1(Auto),11,Review submit,208,96.30
NACL,Renewal,Flow2(Manual),13,Application submitted by user,206,95.37
MFL,Fresh,Flow1(Auto),15,Disbursed,203,82.86
MFL,Fresh,Flow2(Manual),8,KYC completed,203,68.58
PIRAMAL,Renewal,Flow1(Auto),12,Mandate done,198,95.19
PIRAMAL,Renewal,Flow1(Auto),13,Application submitted by user,198,100.00
MFL,Renewal,Flow1(Auto),14,Submit to LMS,194,77.60
PYFL,Fresh,Flow1(Auto),14,Submit to LMS,193,48.01
SHRIRAM,Renewal,Flow2(Manual),8,KYC completed,192,70.59
KSF,Renewal,Flow2(Manual),9,BRE2 completed,190,46.68
KSF,Renewal,Flow2(Manual),10,Disbursal acc verified,189,99.47
PIRAMAL,Renewal,Flow2(Manual),8,KYC completed,185,70.34
PYFL,Renewal,Flow2(Manual),14,Submit to LMS,181,69.35
SHRIRAM,Renewal,Flow1(Auto),15,Disbursed,176,69.02
PYFL,Fresh,Flow1(Auto),15,Disbursed,176,91.19
KSF,Renewal,Flow2(Manual),11,Review submit,174,92.06
MFL,Renewal,Flow1(Auto),15,Disbursed,173,89.18
SHRIRAM,Renewal,Flow2(Manual),9,BRE2 completed,173,90.10
PYFL,Fresh,Flow2(Manual),14,Submit to LMS,173,47.79
PYFL,Renewal,Flow2(Manual),15,Disbursed,171,94.48
SHRIRAM,Renewal,Flow2(Manual),10,Disbursal acc verified,171,98.84
PYFL,Fresh,Flow2(Manual),15,Disbursed,167,96.53
KSF,Renewal,Flow2(Manual),12,Mandate done,161,92.53
KSF,Renewal,Flow2(Manual),13,Application submitted by user,160,99.38
SHRIRAM,Renewal,Flow2(Manual),11,Review submit,158,92.40
MFL,Renewal,Flow2(Manual),6,Child_Lead_Created,158,
PIRAMAL,Renewal,Flow1(Auto),14,Submit to LMS,157,79.29
SHRIRAM,Renewal,Flow2(Manual),12,Mandate done,154,97.47
SHRIRAM,Renewal,Flow2(Manual),13,Application submitted by user,154,100.00
MFL,Fresh,Flow2(Manual),9,BRE2 completed,153,75.37
MFL,Fresh,Flow2(Manual),10,Disbursal acc verified,151,98.69
MFL,Renewal,Flow2(Manual),7,Selfie uploaded,150,94.94
NACL,Renewal,Flow2(Manual),14,Submit to LMS,145,70.39
PIRAMAL,Renewal,Flow1(Auto),15,Disbursed,142,90.45
NACL,Renewal,Flow2(Manual),15,Disbursed,139,95.86
MFL,Fresh,Flow2(Manual),11,Review submit,139,92.05
KSF,Renewal,Flow2(Manual),14,Submit to LMS,134,83.75
SHRIRAM,Renewal,Flow2(Manual),14,Submit to LMS,123,79.87
KSF,Renewal,Flow2(Manual),15,Disbursed,119,88.81
MFL,Fresh,Flow2(Manual),12,Mandate done,117,84.17
MFL,Renewal,Flow2(Manual),8,KYC completed,115,76.67
MFL,Fresh,Flow2(Manual),13,Application submitted by user,113,96.58
MFL,Fresh,Flow2(Manual),14,Submit to LMS,101,89.38
PIRAMAL,Renewal,Flow2(Manual),9,BRE2 completed,99,53.51
PIRAMAL,Renewal,Flow2(Manual),10,Disbursal acc verified,99,100.00
SHRIRAM,Renewal,Flow2(Manual),15,Disbursed,93,75.61
PIRAMAL,Renewal,Flow2(Manual),11,Review submit,93,93.94
MFL,Fresh,Flow2(Manual),15,Disbursed,92,91.09
MFL,Renewal,Flow2(Manual),10,Disbursal acc verified,91,100.00
MFL,Renewal,Flow2(Manual),9,BRE2 completed,91,79.13
PIRAMAL,Renewal,Flow2(Manual),12,Mandate done,88,94.62
PIRAMAL,Renewal,Flow2(Manual),13,Application submitted by user,88,100.00
MFL,Renewal,Flow2(Manual),11,Review submit,87,95.60
MFL,Renewal,Flow2(Manual),12,Mandate done,81,93.10
MFL,Renewal,Flow2(Manual),13,Application submitted by user,77,95.06
PIRAMAL,Renewal,Flow2(Manual),14,Submit to LMS,75,85.23
MFL,Renewal,Flow2(Manual),14,Submit to LMS,68,88.31
PIRAMAL,Renewal,Flow2(Manual),15,Disbursed,65,86.67
MFL,Renewal,Flow2(Manual),15,Disbursed,60,88.24
