lender,month_start,product_type,isautoleadcreated,major_index,original_major_stage,sub_stage,Leads,Stuck%
PYFL,1.MTD,Renewal,Flow1(Auto),6.0,Child_Lead_Created,,1100,
KSF,1.MTD,Fresh,Flow1(Auto),1001.0,Unmapped,,1089,
PYFL,2.LMTD,Fresh,Flow2(Manual),8.0,KYC completed,,1078,
NACL,1.MTD,Renewal,Flow1(Auto),2.0,Workable leads,,1063,
SHRIRAM,2.LMTD,Fresh,Flow2(Manual),6.0,Child_Lead_Created,,1063,
NACL,1.MTD,Renewal,Flow1(Auto),6.0,Child_Lead_Created,,1063,
SHRIRAM,2.LMTD,Fresh,Flow2(Manual),2.0,Workable leads,,1063,
SHRIRAM,2.LMTD,Fresh,Flow1(Auto),8.0,KYC completed,,1054,
UCL,1.MTD,MicroML,Flow2(Manual),7.0,Selfie uploaded,,1049,
NACL,1.MTD,Fresh,Flow1(Auto),7.0,Selfie uploaded,,1048,
SHRIRAM,1.MTD,Fresh,Flow1(Auto),12.0,Mandate done,,1030,
SHRIRAM,1.MTD,Fresh,Flow1(Auto),13.0,Application submitted by user,,1027,
MFL,2.LMTD,Fresh,Flow2(Manual),2.0,Workable leads,,1023,
MFL,2.LMTD,Fresh,Flow2(Manual),6.0,Child_Lead_Created,,1023,
PYFL,1.MTD,Fresh,Flow1(Auto),1001.0,Unmapped,,1009,
PYFL,1.MTD,Renewal,Flow1(Auto),1001.0,Unmapped,,1007,
KSF,1.MTD,Fresh,Flow2(Manual),8.0,KYC completed,,1007,
FULLERTON,2.LMTD,Renewal,Flow2(Manual),6.0,Child_Lead_Created,,1004,
FULLERTON,2.LMTD,Renewal,Flow2(Manual),2.0,Workable leads,,1004,
FULLERTON,2.LMTD,Renewal,Flow1(Auto),9.0,BRE2 completed,,1003,
FULLERTON,2.LMTD,Renewal,Flow1(Auto),10.0,Disbursal acc verified,,993,
FULLERTON,1.MTD,Fresh,Flow1(Auto),1002.0,Unmapped,,992,
KSF,1.MTD,Renewal,Flow1(Auto),8.0,KYC completed,,987,
FULLERTON,1.MTD,Renewal,Flow2(Manual),9.0,BRE2 completed,,982,
KSF,1.MTD,Renewal,Flow1(Auto),1001.0,Unmapped,,979,
KSF,2.LMTD,Fresh,Flow1(Auto),15.0,Disbursed,,978,
NACL,1.MTD,Renewal,Flow1(Auto),7.0,Selfie uploaded,,970,
PYFL,1.MTD,Renewal,Flow1(Auto),7.0,Selfie uploaded,,969,
MFL,2.LMTD,Fresh,Flow1(Auto),8.0,KYC completed,,965,
FULLERTON,1.MTD,Renewal,Flow1(Auto),14.0,Submit to LMS,,965,
FULLERTON,1.MTD,Renewal,Flow2(Manual),10.0,Disbursal acc verified,,965,
SHRIRAM,2.LMTD,Fresh,Flow2(Manual),7.0,Selfie uploaded,,961,
SHRIRAM,2.LMTD,Fresh,Flow2(Manual),4.0,BRE1 completed,,961,
PIRAMAL,1.MTD,Fresh,Flow2(Manual),8.0,KYC completed,,935,
MFL,2.LMTD,Fresh,Flow2(Manual),7.0,Selfie uploaded,,924,
FULLERTON,1.MTD,Renewal,Flow2(Manual),11.0,Review submit,,918,
FULLERTON,2.LMTD,Renewal,Flow1(Auto),11.0,Review submit,,914,
FULLERTON,2.LMTD,Renewal,Flow2(Manual),7.0,Selfie uploaded,,893,
PYFL,1.MTD,Renewal,Flow1(Auto),8.0,KYC completed,,885,
KSF,2.LMTD,Renewal,Flow1(Auto),6.0,Child_Lead_Created,,882,
FULLERTON,1.MTD,Renewal,Flow2(Manual),12.0,Mandate done,,866,
FULLERTON,2.LMTD,Renewal,Flow1(Auto),12.0,Mandate done,,865,
FULLERTON,1.MTD,Renewal,Flow2(Manual),13.0,Application submitted by user,,865,
FULLERTON,1.MTD,Renewal,Flow1(Auto),15.0,Disbursed,,862,
PYFL,1.MTD,Fresh,Flow1(Auto),7.0,Selfie uploaded,,862,
FULLERTON,2.LMTD,Renewal,Flow1(Auto),13.0,Application submitted by user,,862,
PIRAMAL,2.LMTD,Fresh,Flow2(Manual),9.0,BRE2 completed,,857,
SHRIRAM,2.LMTD,Fresh,Flow1(Auto),9.0,BRE2 completed,,856,
KSF,1.MTD,Fresh,Flow2(Manual),1001.0,Unmapped,,853,
SHRIRAM,2.LMTD,Fresh,Flow1(Auto),10.0,Disbursal acc verified,,848,
NACL,1.MTD,Renewal,Flow1(Auto),8.0,KYC completed,,846,
SHRIRAM,1.MTD,Fresh,Flow2(Manual),8.0,KYC completed,,846,
PIRAMAL,2.LMTD,Fresh,Flow1(Auto),9.0,BRE2 completed,,844,
PIRAMAL,2.LMTD,Fresh,Flow2(Manual),10.0,Disbursal acc verified,,843,
PIRAMAL,2.LMTD,Fresh,Flow1(Auto),10.0,Disbursal acc verified,,836,
PYFL,1.MTD,Fresh,Flow1(Auto),8.0,KYC completed,,808,
FULLERTON,1.MTD,Fresh,Flow2(Manual),7.1,Selfie uploaded,KYC_FAILED,801,12.5
FULLERTON,2.LMTD,Renewal,Flow2(Manual),8.0,KYC completed,,800,
SHRIRAM,2.LMTD,Fresh,Flow1(Auto),11.0,Review submit,,799,
PIRAMAL,2.LMTD,Fresh,Flow2(Manual),11.0,Review submit,,797,
NACL,2.LMTD,Fresh,Flow1(Auto),2.0,Workable leads,,795,
NACL,2.LMTD,Fresh,Flow1(Auto),6.0,Child_Lead_Created,,795,
FULLERTON,1.MTD,Fresh,Flow2(Manual),6.1,Child_Lead_Created,KYC_IN_PROGRESS,787,10.9
NACL,1.MTD,Fresh,Flow1(Auto),8.0,KYC completed,,786,
SHRIRAM,1.MTD,Fresh,Flow1(Auto),14.0,Submit to LMS,,785,
KSF,2.LMTD,Renewal,Flow1(Auto),7.0,Selfie uploaded,,781,
PIRAMAL,2.LMTD,Fresh,Flow1(Auto),11.0,Review submit,,772,
UCL,1.MTD,MicroML,Flow1(Auto),8.0,KYC completed,,751,
KSF,1.MTD,Fresh,Flow1(Auto),9.0,BRE2 completed,,746,
MFL,1.MTD,Fresh,Flow1(Auto),2.0,Workable leads,,746,
MFL,1.MTD,Fresh,Flow1(Auto),6.0,Child_Lead_Created,,746,
KSF,1.MTD,Fresh,Flow2(Manual),9.0,BRE2 completed,,744,
PYFL,1.MTD,Fresh,Flow2(Manual),6.0,Child_Lead_Created,,743,
SHRIRAM,2.LMTD,Fresh,Flow1(Auto),12.0,Mandate done,,743,
SHRIRAM,2.LMTD,Fresh,Flow1(Auto),13.0,Application submitted by user,,742,
